Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes,Longitude,Latitude,URL
Saskatchewan,University of Regina,Creative Technologies,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Film,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Music,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Interdisciplinary Studies,10352,3782,65,3-4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Theatre ,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Visual Arts,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Collaborative Bachelor of Science in Nursing (SCBScN) (with Saskatchewan Polytechnic),10907,3999,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Collaborative Nurse Practitioner(CNPP),10907,3999,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Biology,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Chemistry and Biochemistry,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Computer Science,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Economics,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Geography,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Geology,10352,3782,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
